Id  ,Title                                                                                                     ,Company_Name                                                                    ,Job                                                                                                        ,Place                                                                                                                                                                              ,Number_Employee ,Experience            ,Level                    ,Salary           ,Education   ,Description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,Requirement                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,Deadline   ,Source_Picture
 32 ,"Kỹ Sư Điện, Điện Tử"                                                                                     ,"Công Ty TNHH Một Thành Viên Kỹ Thuật Máy Bay"                                  ,"Điện - Điện tử - Điện lạnh / Khoa học - Kỹ thuật"                                                         ,"Sân bay Quốc tế Tân Sơn Nhất, Tân Bình, TP Hồ Chí Minh"                                                                                                                           ,              1 ,"1 năm"               ,"Chuyên viên- nhân viên" ,"14 - 32 triệu"  ,"Đại học"   ,"- Thực hiện bảo dưỡng, sửa chữa các thiết bị mặt đất, dụng cụ; - Thực hiện bảo dưỡng, sửa chữa các thiết bị hangar."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,"- Là công dân Việt Nam; từ đủ 18 tuổi đến 40 tuổi (sinh từ ngày 01/01/1983 về sau); có ngoại hình phù hợp; không có thông tin án tích theo xác nhận của lý lịch tư pháp (mẫu số 2), không mắc các tệ nạn xã hội, chấp hành tốt quy định pháp luật theo xác nhận tại lý lịch nhân thân; có lý lịch bản thân và gia đình rõ ràng; có sức khoẻ loại 1 hoặc loại 2 theo tiêu chuẩn phân loại sức khỏe của Bộ Y tế. - Trình độ chuyên môn: Tốt nghiệp đại học trở lên các ngành điện, điện tử, điện – điện tử, điều khiển tự động và một số ngành phù hợp khác do Hội đồng tuyển dụng xem xét, quyết định. - Trình độ tiếng Anh: Có chứng chỉ tiếng Anh tối thiểu TOEIC 500/ TOEFL (paper) 470/ TOEFL CBT 120/ TOEFL IBT40/ TOEFL ITP 449/ TOEFL Essentials 4.5/ IELTS 4.5/ CEFR A2/ Aptis A2 đang còn hạn."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,31/12/2023 ,https://cdn1.vieclam24h.vn/images/employer_avatar/2023/07/21/Untitled_168992529939.png
 33 ,"Nhân Viên Sửa Chữa Dụng Cụ Thiết Bị"                                                                     ,"Công Ty TNHH Một Thành Viên Kỹ Thuật Máy Bay"                                  ,"Khoa học - Kỹ thuật / Vận hành - Bảo trì - Bảo dưỡng / Sản xuất - Lắp ráp - Chế biến"                     ,"Sân bay Quốc tế Nội Bài, Xã Phú Minh, Huyện Sóc Sơn, Thành phố Hà Nội, Việt Nam/ Sân bay Quốc tế Tân Sơn Nhất, Tân Bình, TP Hồ Chí Minh"                                          ,             11 ,"1 năm"               ,"Chuyên viên- nhân viên" ,"10 - 13 triệu"  ,"Trung cấp" ,"- Thực hiện bảo dưỡng, sửa chữa các thiết bị mặt đất, dụng cụ; - Bảo dưỡng xe đẩy suất ăn; - Thực hiện bảo dưỡng, sửa chữa các thiết bị hangar."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,"- Là công dân Việt Nam; từ đủ 18 tuổi đến 40 tuổi (sinh từ ngày 01/01/1983 về sau); có ngoại hình phù hợp; không có thông tin án tích theo xác nhận của lý lịch tư pháp (mẫu số 2), không mắc các tệ nạn xã hội, chấp hành tốt quy định pháp luật theo xác nhận tại lý lịch nhân thân; có lý lịch bản thân và gia đình rõ ràng; có sức khoẻ loại 1 hoặc 2 theo tiêu chuẩn phân loại sức khỏe của Bộ Y tế. - Trình độ chuyên môn: tốt nghiệp trung cấp trở lên các chuyên ngành điện – điện tử, công nghệ ô tô, sửa chữa ô tô. - Trình độ ngoại ngữ: Có chứng chỉ tiếng Anh tối thiểu TOEIC 350/ TOEFL (paper) 400/ TOEFL CBT 63/ TOEFL IBT 29/ TOEFL ITP 359/ TOEFL Essentials 2.5/ IELTS 3.0/ CEFR A1/ Aptis A1 đang còn hạn."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,31/12/2023 ,https://cdn1.vieclam24h.vn/images/employer_avatar/2023/07/21/Untitled_168992529939.png
 34 ,"Kỹ Sư Làm Công Tác Môi Trường, Cứu Hỏa"                                                                  ,"Công Ty TNHH Một Thành Viên Kỹ Thuật Máy Bay"                                  ,"Môi trường - Xử lý chất thải / Điện - Điện tử - Điện lạnh / Khoa học - Kỹ thuật"                          ,"Sân bay Quốc tế Nội Bài, Xã Phú Minh, Huyện Sóc Sơn, Thành phố Hà Nội, Việt Nam"                                                                                                  ,              1 ,"1 năm"               ,"Chuyên viên- nhân viên" ,"14 - 30 triệu"  ,"Đại học"   ,"- Vận hành, quản lý, sửa chữa hệ thống cứu hỏa, phòng cháy chữa cháy; - Quản lý hồ sơ liên quan đến hệ thống cứu hỏa, phòng cháy chữa cháy; - Vận hành, quản lý, sửa chữa hệ thống xử lý nước thải."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,"- Là công dân Việt Nam; từ đủ 18 tuổi đến 40 tuổi (sinh từ ngày 01/01/1983 về sau); có ngoại hình phù hợp; không có thông tin án tích theo xác nhận của lý lịch tư pháp (mẫu số 2), không mắc các tệ nạn xã hội, chấp hành tốt quy định pháp luật theo xác nhận tại lý lịch nhân thân; có lý lịch bản thân và gia đình rõ ràng; có sức khoẻ loại 1 hoặc 2 theo tiêu chuẩn phân loại sức khỏe của Bộ Y tế. - Trình độ chuyên môn: tốt nghiệp đại học trở lên các chuyên ngành liên quan đến môi trường hoặc cứu hỏa. - Trình độ tiếng Anh: Có chứng chỉ tiếng Anh tối thiểu TOEIC 500/ TOEFL (paper) 470/ TOEFL CBT 120/ TOEFL IBT40/ TOEFL ITP 449/ TOEFL Essentials 4.5/ IELTS 4.5/ CEFR A2/ Aptis A2 đang còn hạn."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,31/12/2023 ,https://cdn1.vieclam24h.vn/images/employer_avatar/2023/07/21/Untitled_168992529939.png
 35 ,"Kỹ Sư Kỹ Thuật Kế Hoạch"                                                                                 ,"Công Ty TNHH Một Thành Viên Kỹ Thuật Máy Bay"                                  ,"Khoa học - Kỹ thuật / Cơ khí - Ô tô - Tự động hóa"                                                        ,"Sân bay Quốc tế Tân Sơn Nhất, Tân Bình, TP Hồ Chí Minh"                                                                                                                           ,              1 ,"1 năm"               ,"Chuyên viên- nhân viên" ,"14 - 30 triệu"  ,"Đại học"   ,"- Xây dựng các quy định, quy trình của Công ty về quản lý, khai thác và sử dụng trang thiết bị, dụng cụ, dự báo nhu cầu và lập phương án bổ sung, thay thế trang thiết bị, dụng cụ; - Thực hiện đánh giá nâng cấp, cải tiến liên quan đến trang thiết bị, dụng cụ đảm bảo duy trì tính pháp lý trong quá trình khai thác, sử dụng; - Đánh giá nhu cầu sử dụng trang thiết bị, dụng cụ đối với các gói công việc bảo dưỡng. Lập và triển khai các phương án đáp ứng; đảm bảo tính chính xác về trạng thái, tình trạng kỹ thuật của trang thiết bị, dụng cụ giữa hiện trạng và dữ liệu trên hệ thống quản lý; - Đánh giá các tiêu chuẩn của trang thiết bị, dụng cụ, lập phương án đáp ứng hoạt động bảo dưỡng; - Nghiên cứu thiết kế, chế tạo trang thiết bị, dụng cụ và phê duyệt thiết kế phù hợp với các quy định, tiêu chuẩn được nhà chức trách chấp thuận; Lập dự toán, quyết toán sửa chữa, chế tạo dụng cụ, thiết bị; - Đánh giá, lập hồ sơ, hướng dẫn sử dụng, khai báo hệ thống đối với: trang thiết bị, dụng cụ mua mới; trang thiết bị, dụng cụ có tính năng tương đương, có thể được sử dụng thay thế;"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,"- Là công dân Việt Nam; từ đủ 18 tuổi đến 40 tuổi (sinh từ ngày 01/01/1983 về sau); có ngoại hình phù hợp; không có thông tin án tích theo xác nhận của lý lịch tư pháp (mẫu số 2), không mắc các tệ nạn xã hội, chấp hành tốt quy định pháp luật theo xác nhận tại lý lịch nhân thân; có lý lịch bản thân và gia đình rõ ràng; có sức khoẻ loại 1 hoặc 2 theo tiêu chuẩn phân loại sức khỏe của Bộ Y tế. - Trình độ chuyên môn: + Kỹ sư kỹ thuật kế hoạch tại Hà Nội: tốt nghiệp đại học trở lên các ngành cơ khí, chế tạo máy. + Kỹ sư kỹ thuật kế hoạch tại Tp Hồ Chí Minh: tốt nghiệp đại học trở lên các ngành điện, điện tử, điện – điện tử, điều khiển tự động và một số ngành phù hợp khác do Hội đồng tuyển dụng xem xét, quyết định. - Có chứng chỉ tiếng Anh: Có chứng chỉ tiếng Anh tối thiểu TOEIC 500/ TOEFL (paper) 470/ TOEFL CBT 120/ TOEFL IBT40/ TOEFL ITP 449/ TOEFL Essentials 4.5/ IELTS 4.5/ CEFR A2/ Aptis A2 đang còn hạn."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,31/12/2023 ,https://cdn1.vieclam24h.vn/images/employer_avatar/2023/07/21/Untitled_168992529939.png
 36 ,"Nhân Viên Quản Lý Dụng Cụ Thiết Bị"                                                                      ,"Công Ty TNHH Một Thành Viên Kỹ Thuật Máy Bay"                                  ,"Khoa học - Kỹ thuật / Vận hành - Bảo trì - Bảo dưỡng / Thu mua - Kho Vận - Chuỗi cung ứng"                ,"Sân bay Quốc tế Nội Bài, Xã Phú Minh, Huyện Sóc Sơn, Thành phố Hà Nội, Việt Nam"                                                                                                  ,              3 ,"1 năm"               ,"Chuyên viên- nhân viên" ,"10 - 13 triệu"  ,"Đại học"   ,"- Tiếp nhận yêu cầu hiệu chuẩn, thực hiện kiểm tra, đánh giá, lập yêu cầu gửi đi hiệu chuẩn các dụng cụ thiết bị, cập nhật trạng thái trên phần mềm. - Tiếp nhận các dụng cụ thiết bị (DCTB) mới có yêu cầu hiệu chuẩn, DCTB hiệu chuẩn về, thực hiện kiểm tra, đánh giá kết quả sau hiệu chuẩn dụng cụ thiết bị, cập nhật thông tin vào phần mềm, bàn giao DCTB cho các đơn bị; - Tiếp nhận và thực hiện các công việc điều chuyển, cho thuê mượn, bảo dưỡng đơn giản liên quan dụng cụ thiết bị; - Bảo quản, lưu giữ dụng cụ thiết bị của Công ty theo đúng tiêu chuẩn của Nhà sản xuất/ chế tạo dụng cụ thiết bị và các quy định liên quan; - Kiểm tra đầu vào đối với dụng cụ, thiết bị mới/ trong điều chuyển/ đi bảo dưỡng, sửa chữa về và thuê của cơ sở bên ngoài để cấp phép sử dụng."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,"- Là công dân Việt Nam; từ đủ 18 tuổi đến 40 tuổi (sinh từ ngày 01/01/1983 về sau); có ngoại hình phù hợp; không có thông tin án tích theo xác nhận của lý lịch tư pháp (mẫu số 2), không mắc các tệ nạn xã hội, chấp hành tốt quy định pháp luật theo xác nhận tại lý lịch nhân thân; có lý lịch bản thân và gia đình rõ ràng; có sức khoẻ loại 1 hoặc 2 theo tiêu chuẩn phân loại sức khỏe của Bộ Y tế. - Trình độ chuyên môn: tốt nghiệp trung cấp trở lên các chuyên ngành điện – điện tử, công nghệ ô tô, sửa chữa ô tô. - Trình độ ngoại ngữ: Có chứng chỉ tiếng Anh tối thiểu TOEIC 350/ TOEFL (paper) 400/ TOEFL CBT 63/ TOEFL IBT 29/ TOEFL ITP 359/ TOEFL Essentials 2.5/ IELTS 3.0/ CEFR A1/ Aptis A1 đang còn hạn. CHỈ NHẬN HỒ SƠ TRỰC TIẾP TẠI VĂN PHÒNG"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,31/12/2023 ,https://cdn1.vieclam24h.vn/images/employer_avatar/2023/07/21/Untitled_168992529939.png
 37 ,"Nhân Viên Lái Xe Sân Đỗ"                                                                                 ,"Công Ty TNHH Một Thành Viên Kỹ Thuật Máy Bay"                                  ,"Vận Tải - Lái xe - Giao nhận"                                                                             ,"Sân bay Quốc tế Nội Bài, Xã Phú Minh, Huyện Sóc Sơn, Thành phố Hà Nội, Việt Nam"                                                                                                  ,              2 ,"1 năm"               ,"Chuyên viên- nhân viên" ,"10 - 13 triệu"  ,"Trung học" ,"- Lái xe trên sân đỗ phục vụ công tác bảo dưỡng ngoại trường. - Lái xe phục vụ công tác ngoài, đưa đón cán bộ, công nhân viên. - Các công việc khác theo phân công."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,"- Là công dân Việt Nam; từ đủ 18 tuổi đến 40 tuổi (sinh từ ngày 01/01/1983 về sau); có ngoại hình phù hợp; không có thông tin án tích theo xác nhận của lý lịch tư pháp (mẫu số 2), không mắc các tệ nạn xã hội, chấp hành tốt quy định pháp luật theo xác nhận tại lý lịch nhân thân; có lý lịch bản thân và gia đình rõ ràng; có sức khoẻ loại 1 hoặc 2 theo tiêu chuẩn phân loại sức khỏe của Bộ Y tế. - Trình độ học vấn: tốt nghiệp trung học phổ thông hoặc tương đương trở lên. - Trình độ chuyên môn: có giấy phép lái xe cơ giới đường bộ hạng D trở lên. Ưu tiên thí sinh có giấy phép lái xe cơ giới đường bộ hạng E. CHỈ NHẬN HỒ SƠ TRỰC TIẾP TẠI VĂN PHÒNG"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,31/12/2023 ,https://cdn1.vieclam24h.vn/images/employer_avatar/2023/07/21/Untitled_168992529939.png
 38 ,"Nhân Viên Sale Admin"                                                                                    ,"Công Ty TNHH Kỹ Thuật Công Nghệ Cti Việt Nam"                                  ,"Hành chính - Thư ký / Tài chính - Đầu tư - Chứng Khoán / Bán hàng - Kinh doanh"                           ,"Tầng 2, Tòa nhà Nhà Sách Nhân Văn, Số 1 Trường Chinh , Phường 11, Quận Tân Bình, Thành phố Hồ Chí Minh"                                                                           ,              2 ,"Chưa có kinh nghiệm" ,"Chuyên viên- nhân viên" ,"8 - 12 triệu"   ,"Đại học"   ,"Kết hợp với bộ phận chăm sóc khách hàng giải đáp thắc mắc của khách hàng. Phối hợp với Bộ Phận Kinh doanh để đạt được chỉ tiêu đề ra và đảm bảo sự hài lòng từ khách hàng. Cập nhật thông tin dữ liệu khách hàng và các dữ liệu hoạt động của Bộ Phận Kinh doanh. Quản lý, lưu trữ thông tin hợp đồng. Theo dõi, báo cáo chất lượng công việc, doanh số, KPI của phòng Kinh doanh. Thực hiện các công việc khác theo phân công của cấp trên"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,"Trình độ: Đại học Sử dụng MS office, Làm việc tỉ mỉ, chính xác, nhanh nhẹn, tháo vát, nhiệt tình. Tính cách thân thiện, nhiệt tình và hăng hái. Tinh thần ham học hỏi và trách nhiệm trong công việc"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,16/01/2024 ,/img/vieclam24h_logo_customer.jpg
 39 ,"Nhân Viên Vận Hành Máy - Nhà Máy Củ Chi"                                                                 ,"Công Ty Tnhh Quốc Tế Unilever Việt Nam"                                        ,"Vận hành - Bảo trì - Bảo dưỡng / Khoa học - Kỹ thuật / Cơ khí - Ô tô - Tự động hóa"                       ,"156 Nguyễn Lương Bằng, Phường Tân Phú, Quận 7"                                                                                                                                    ,              1 ,"1 năm"               ,"Chuyên viên- nhân viên" ,"9 - 11 triệu"   ,"Trung cấp" ,"• Nhận và thực hiện kế hoạch sản xuất và các yêu cầu từ Kỹ thuật viên vận hành máy, giám sát việc thực hiện của công nhân sản xuất. Báo cáo kết quả sản xuất vào cuối ca làm việc. • Vận hành, bảo trì dây chuyền sản xuất được phân công theo đúng quy trình quy định. Đảm bảo máy luôn vận hành an toàn, sạch sẽ ngăn nắp theo tiêu chuẩn 5S. • Kiểm tra thường xuyên tình trạng trên dây chuyền để phát hiện, khắc phục, phòng ngừa các hiện tượng bất thường có thể gây ra sự cố chất lượng. • Điều chỉnh thông số máy để theo đặc tính của từng sản phẩm đảm bảo chất lượng sản phẩm. • Thực hiện kiểm tra các chỉ tiêu chất lượng theo đúng tần suất quy định và ghi chép rõ ràng các thông tin đo được. • Thực hiện vệ sinh chuyển đổi và vệ sinh thanh trùng theo quy trình và tần suất quy định. Ghi chép rõ rang các thông tin liên quan. • Ghi chép và bàn giao rõ ràng các thông tin về tình hình máy móc và sản phẩm cho vận hành máy ca sau. • Vệ sinh sạch sẽ, tắt máy đúng quy định sau khi sau hết ca làm việc. • Báo cáo lên cấp quản lý trực tiếp những sự cố nằm ngoài thẩm quyền quyết định và tiếp nhận phương án giải quyết. • Phụ trách huấn luyện nhân viên trên dây chuyền các kĩ năng cần thiết trong khuôn khổ cho phép. • Lắng nghe ý kiến đóng góp của nhân viên và phản ánh lên cấp quản lý trực tiếp để có giải pháp phù hợp. • Hỗ trợ thực hiện các hoạt động thay đổi, lắp đặt các thiết bị trên dây chuyền. • Hỗ trợ thực hiện việc chạy thử nghiệm cho các dự án mới trên dây chuyền. • Tuân thủ các quy định quy trình vận hành, quy định an toàn và chất lượng. • Hỗ trợ công việc của Kỹ thuật viên vận hành máy khi có yêu cầu. • Tham gia hội thảo và các hoạt động khác của nhà máy khi có yêu cầ"                                                                       ,"• Có kiến thức tốt về Cơ khí, Điện, Điện tử, Tự động hóa thông qua các cấp học Trung cấp, Cao đẳng hoặc Đại học. • Ít nhất 1-2 năm kinh nghiệm làm việc trong các bộ phận cơ điện, bảo trì hoặc sản xuất của các công ty sản xuất. • Các kỹ năng cần thiết bao gồm: Kỹ năng giải quyết vấn đề, Kỹ năng giao tiếp, Kỹ năng phân tích dữ liệu"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,20/12/2023 ,"https://cdn1.vieclam24h.vn/images/default/2023/08/02/Logo white RGB (1)_169095918869.jpg"
 40 ,"Nhân Viên Trưng Bày Hàng Hóa Tại Các Hệ Thống Siêu Thị"                                                  ,"Công Ty TNHH Phát Kiến Gia"                                                    ,"Bán sỉ - Bán lẻ - Quản lý cửa hàng / Bán hàng - Kinh doanh / Lao động phổ thông"                          ,"Văn Phòng Phát Kiến Gia Co. Lầu 1, Toà nhà TTC, Số 1 đường Tân Thuận, phường Tân Thuận Đông, Quận 7, HCMC"                                                                        ,              2 ,"Dưới 1 năm"          ,"Chuyên viên- nhân viên" ,"10 - 13 triệu"  ,"Trung học" ,"- Trưng bày đầy đủ tất cả sản phẩm lên quầy kệ kèm theo bảng giá (railcard) hoặc bảng Khuyến mãi (railcard Khuyến mãi) nếu có - Tư vấn sản phẩm đến Người tiêu dùng và chụp hình báo cáo hàng ngày. - Kiểm tra hàng tồn (Stock), tình hình trưng bày sản phẩm (Art đang Active hay Block),&nbsp;tình hình bán ra hàng tuần của các phẩm chủ chốt/ sản phẩm mới ( sale out Art Key/ Art mới) - Hỗ trợ nhờ nhân viên Ngành hàng đặt đơn hàng (PO). Khi có PO chụp gửi về cho Anh Chị Sales phụ trách Siêu thị. - Kiểm tra date sản phẩm.&nbsp;Kiểm tra Giá và chương trình khuyến mãi của đối thủ. - Các kỳ Khuyến mãi Sản phẩm được Onpost Trưng bày Ụ, Đảo, Pallet thì Nhân viên trưng bày theo yêu cầu và hướng dẫn của nhân viên Ngành hàng Siêu thị để trưng bày tốt nhất. - Hỗ trợ nhân viên ngành hàng siêu thị theo sự hướng dẫn ngành hàng. - Kiểm kê hàng hóa cho các Siêu thị (nếu có). - Làm việc tại các hệ thống siêu thị trong TP. HCM: Lotte Mart , Co.op Mart, Mega Market, BigC, Aeon, Emart... theo sự sắp xếp của Trưởng phòng"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,"- Ưu tiên ứng viên nam, (Ưu tiên ứng viên nam chạy App (Grab,Gojek,…) - Các bạn tốt nghiệp THPT đã có kinh nghiệm trưng bày hàng hóa, làm việc tại các siêu thị - Ứng viên có bằng cấp từ Trung cấp trở lên chưa có kinh nghiẹm, muốn chuyển đổi nghề nghiệp sang phát triển kinh doanh kênh Siêu thị - sẽ được đào tạo. - Có phương tiện đi lại cá nhân và sẵn sàng đi thị trường. - Biết ứng dụng công nghệ vào công việc: zalo, word, excel,… - Linh hoạt, năng động, sáng tạo. - Có khả năng xây dựng các mối quan hệ tốt."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,28/12/2023 ,https://cdn1.vieclam24h.vn/images/old_employer_avatar/images/b2e1c1c1ded78c437315ac929a53a7e3_2637893_vieclam24h_1595997360.png
 41 ,"Lazada Platform Operation Executive (Nhân Viên Vận Hành Sàn Tmđt Lazada Biết Tiếng Hoa)"                 ,"Công Ty TNHH Công Nghệ Pandapon"                                               ,"Bán hàng - Kinh doanh / Marketing / Bán sỉ - Bán lẻ - Quản lý cửa hàng"                                   ,"Lầu 19, 20 Saigon Centre, 67 Lê Lợi, Phường Bến Nghé, Quận 1, Thành Phố Hồ Chí Minh"                                                                                              ,             10 ,"1 năm"               ,"Chuyên viên- nhân viên" ,"8 - 15 triệu"   ,"Đại học"   ,"1. Phụ trách tìm nguồn hàng cho các sản phẩm của Lazada, hỗ trợ nhân viên kinh doanh đàm phán với các nhà bán hàng Trung Quốc, tư vấn giá cả... 2. Dựa trên nhu cầu kinh doanh của sàn TMĐT, tối ưu hóa nguồn hàng hiện có của nhà bán hàng, nâng cao doanh số bán hàng và năng lực cung ứng hàng hóa của sàn TMĐT. 3. Các công việc hàng ngày như đăng sản phẩm lên sàn TMĐT, đối soát hàng tồn và công nợ giữa nhà bán hàng và kế toán."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,"1. Tốt nghiệp đại học chuyên ngành trở lên, có một năm kinh nghiệm vận hành sàn TMĐT, nắm rõ các quy trình đăng bán sản phẩm trên sàn TMĐT. 2. Thành thật, đáng tin cậy, có tính nhẫn nại trong công việc và đàm phán, giải quyết vấn đề khách quan minh bạch 3. Thích nghi tốt với nhịp độ làm việc trong ngành TMĐT, khả năng trình bày tốt, làm việc chăm chỉ, tỉ mỉ và trách nhiệm. 4. Yêu cầu ngoại ngữ: Tiếng Hoa"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,15/01/2024 ,/img/vieclam24h_logo_customer.jpg
 42 ,"Lao Động Phổ Thông [Cẩm Mỹ- Đồng Nai]"                                                                   ,"Công Ty TNHH Thuận Thiên"                                                      ,"Lao động phổ thông / Nghề nghiệp khác / Sản xuất - Lắp ráp - Chế biến"                                    ,"Thôn Quảng Thành 1 - Xã Nghĩa Thành - Huyện Châu Đức - Bà Rịa - Vũng Tàu."                                                                                                        ,             10 ,"Chưa có kinh nghiệm" ,"Chuyên viên- nhân viên" ,"5 - 7 triệu"    ,"Trung học" ,"- Nhập xuất kho hàng hóa trong ngày - Kiểm tra chất lượng hàng hóa thủy sản - Nhận hàng hóa từ nhà cung cấp và xếp vào kho - Kiểm hàng, đếm hàng và phân loại hàng - Sắp xếp hàng hoá trong kho theo đúng qui định - Đóng hàng giao cho khách hàng - Và 1 số công việc khác được yêu cầu - Thời gian làm việc: 07h00-17h, thứ 2 - cn (tháng được nghỉ 2 ngày) - Ưu tiên lương cao hơn với nhân sự đã tốt nghiệp cấp 3 - biết sử dụng máy tính"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,"- Nhiệt tình, ham học hỏi - Đạo đức nghiêm túc trong công việc - Tuân theo chỉ đạo của cấp trên. - Trong độ tuổi lao động - Độ tuổi: Nam /Nữ từ 20-35 tuổi"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,04/01/2024 ,/img/vieclam24h_logo_customer.jpg
